split,prediction_model,reconstruction_variant,diagnostic_name,failure_mode,n_failure,n_reference,failure_median,reference_median,median_delta,median_ratio,cliffs_delta
val,majority,train_mean_window,midprice_mae,non_neutral_missed_vs_detected,305,0,0.1852646619081497,,,,
val,majority,train_mean_window,top1_volume_sum_mae,incorrect_vs_correct,305,895,0.6748486161231995,0.7666102647781372,-0.09176164865493774,0.8803020871609458,-0.09045883322648594
val,majority,train_mean_window,top1_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.718555361032486,,,
val,majority,train_mean_window,top1_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.718555361032486,0.718555361032486,0.0,1.0,0.0
val,majority,train_mean_window,top1_volume_sum_mae,non_neutral_missed_vs_detected,305,0,0.6748486161231995,,,,
val,majority,train_mean_window,top5_volume_sum_mae,incorrect_vs_correct,305,895,3.494993209838867,8.123492240905762,-4.6284990310668945,0.43023284890208485,-0.3336459382727356
val,majority,train_mean_window,top5_volume_sum_mae,opposite_direction_vs_not,0,1200,,6.281430244445801,,,
val,majority,train_mean_window,top5_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,6.281430244445801,6.281430244445801,0.0,1.0,0.0
val,majority,train_mean_window,top5_volume_sum_mae,non_neutral_missed_vs_detected,305,0,3.494993209838867,,,,
val,mlp,last_snapshot_repeat@40,normalized_mse,incorrect_vs_correct,354,846,0.8156793415546417,0.7414771318435669,0.07420220971107483,1.1000734972454007,0.13036422646952758
val,mlp,last_snapshot_repeat@40,normalized_mse,opposite_direction_vs_not,77,1123,0.8130664229393005,0.7656208276748657,0.047445595264434814,1.0619700947902941,0.09544240265522545
val,mlp,last_snapshot_repeat@40,normalized_mse,low_confidence_vs_high_confidence,300,300,0.9343011975288391,0.8838783800601959,0.05042281746864319,1.0570472347849589,0.03275555555555556
val,mlp,last_snapshot_repeat@40,normalized_mse,non_neutral_missed_vs_detected,153,152,0.6019930243492126,0.8940030932426453,-0.2920100688934326,0.6733679434661901,-0.30091159270725837
val,mlp,last_snapshot_repeat@40,top_of_book_mse,incorrect_vs_correct,354,846,0.6312514543533325,0.5099155306816101,0.12133592367172241,1.237952987055584,0.07569686527493956
val,mlp,last_snapshot_repeat@40,top_of_book_mse,opposite_direction_vs_not,77,1123,0.6024014949798584,0.558125376701355,0.04427611827850342,1.0793300575942006,0.014999248302899238
val,mlp,last_snapshot_repeat@40,top_of_book_mse,low_confidence_vs_high_confidence,300,300,0.5657206773757935,0.854375958442688,-0.28865528106689453,0.6621448927553623,-0.17593333333333333
val,mlp,last_snapshot_repeat@40,top_of_book_mse,non_neutral_missed_vs_detected,153,152,0.3961470127105713,0.608413428068161,-0.21226641535758972,0.651114841380836,-0.09769521843825249
val,mlp,last_snapshot_repeat@40,last_step_mse,incorrect_vs_correct,354,846,0.0,0.0,0.0,,0.0
val,mlp,last_snapshot_repeat@40,last_step_mse,opposite_direction_vs_not,77,1123,0.0,0.0,0.0,,0.0
val,mlp,last_snapshot_repeat@40,last_step_mse,low_confidence_vs_high_confidence,300,300,0.0,0.0,0.0,,0.0
val,mlp,last_snapshot_repeat@40,last_step_mse,non_neutral_missed_vs_detected,153,152,0.0,0.0,0.0,,0.0
val,mlp,last_snapshot_repeat@40,midprice_mae,incorrect_vs_correct,354,846,0.0038958436343818,0.0022648096783086,0.0016310339560732003,1.7201638052391606,0.33602462902859587
val,mlp,last_snapshot_repeat@40,midprice_mae,opposite_direction_vs_not,77,1123,0.0106173995882272,0.0024725378025323,0.0081448617856949,4.294130337401989,0.8140417018422361
val,mlp,last_snapshot_repeat@40,midprice_mae,low_confidence_vs_high_confidence,300,300,0.0036153637338429,0.0023270893143489497,0.0012882744194939503,1.5535990439001999,0.2635222222222222
val,mlp,last_snapshot_repeat@40,midprice_mae,non_neutral_missed_vs_detected,153,152,0.0022854686249047,0.01147968648001545,-0.00919421785511075,0.19908806994715278,-0.8468782249742002
val,mlp,last_snapshot_repeat@40,top1_volume_sum_mae,incorrect_vs_correct,354,846,0.7044767439365387,0.6033215224742889,0.10115522146224976,1.1676638702484885,0.11989956057752668
val,mlp,last_snapshot_repeat@40,top1_volume_sum_mae,opposite_direction_vs_not,77,1123,0.6920602917671204,0.6232010126113892,0.0688592791557312,1.110492887145981,0.07111054573209516
val,mlp,last_snapshot_repeat@40,top1_volume_sum_mae,low_confidence_vs_high_confidence,300,300,0.6502426266670227,0.7841878235340118,-0.13394519686698914,0.829192455114448,-0.1852
val,mlp,last_snapshot_repeat@40,top1_volume_sum_mae,non_neutral_missed_vs_detected,153,152,0.6444874405860901,0.6892527937889099,-0.044765353202819824,0.9350523442106937,-0.05503955968352253
val,mlp,last_snapshot_repeat@40,top5_volume_sum_mae,incorrect_vs_correct,354,846,1.2860822677612307,1.1004267930984497,0.18565547466278098,1.1687122449463763,0.14325974008628173
val,mlp,last_snapshot_repeat@40,top5_volume_sum_mae,opposite_direction_vs_not,77,1123,1.9868556261062624,1.0968940258026123,0.8899616003036501,1.8113469299392464,0.40497970417827944
val,mlp,last_snapshot_repeat@40,top5_volume_sum_mae,low_confidence_vs_high_confidence,300,300,1.2694568037986755,1.0269641280174255,0.24249267578125,1.2361257508082457,0.10351111111111111
val,mlp,last_snapshot_repeat@40,top5_volume_sum_mae,non_neutral_missed_vs_detected,153,152,1.1474062204360962,1.8956529498100279,-0.7482467293739317,0.6052828501921109,-0.35036119711042313
val,mlp,mlp_ae@16,normalized_mse,incorrect_vs_correct,354,846,0.5820521116256714,0.5733286738395691,0.008723437786102295,1.0152154221202327,0.005729855351204071
val,mlp,mlp_ae@16,normalized_mse,opposite_direction_vs_not,77,1123,0.4357137382030487,0.5866473317146301,-0.15093359351158142,0.7427183499319113,-0.24152606076025487
val,mlp,mlp_ae@16,normalized_mse,low_confidence_vs_high_confidence,300,300,0.5897926092147827,0.6045158505439758,-0.014723241329193115,0.9756445735609011,-0.030933333333333334
val,mlp,mlp_ae@16,normalized_mse,non_neutral_missed_vs_detected,153,152,0.4945821464061737,0.4847099035978317,0.00987224280834198,1.0203673222582492,-0.002235982112143103
val,mlp,mlp_ae@16,top_of_book_mse,incorrect_vs_correct,354,846,0.5254237055778503,0.47112891077995295,0.054294794797897394,1.115244030997827,0.03781170279547488
val,mlp,mlp_ae@16,top_of_book_mse,opposite_direction_vs_not,77,1123,0.4386980533599853,0.4888552725315094,-0.0501572191715241,0.8973986331132571,-0.04247666847844942
val,mlp,mlp_ae@16,top_of_book_mse,low_confidence_vs_high_confidence,300,300,0.540775328874588,0.6055746376514435,-0.06479930877685547,0.8929953390581845,-0.11535555555555556
