split,prediction_model,reconstruction_variant,diagnostic_name,quantile_bin,n_samples,accuracy,macro_f1,balanced_accuracy,mcc,mean_confidence,mean_proba_true,opposite_direction_rate,directional_accuracy_non_neutral,true_down_count,true_neutral_count,true_up_count
val,logistic_regression,pca@128,midprice_mae,Q4,300,0.63,0.4896521279500003,0.5173060884070058,0.25246092683147153,0.9247040600705095,0.6360475638997654,0.17073170731707318,0.4146341463414634,38,218,44
val,logistic_regression,pca@128,top1_volume_sum_mae,Q1,300,0.7633333333333333,0.43993021925427495,0.44462743375786856,0.1673414139118068,0.9045415731540281,0.7339992483070702,0.0851063829787234,0.23404255319148937,27,253,20
val,logistic_regression,pca@128,top1_volume_sum_mae,Q2,300,0.73,0.49716984940853487,0.5403330731199584,0.2646662293805845,0.9221445599058579,0.7139569674637734,0.125,0.375,21,244,35
val,logistic_regression,pca@128,top1_volume_sum_mae,Q3,300,0.6066666666666667,0.4064272723427653,0.44199366441855714,0.1519835154397419,0.9272268686036114,0.6026635041473708,0.1791044776119403,0.3283582089552239,35,233,32
val,logistic_regression,pca@128,top1_volume_sum_mae,Q4,300,0.5533333333333333,0.49141560592653094,0.49122754639996025,0.24645713621193077,0.9349512558688282,0.5579689994737486,0.1925925925925926,0.4,58,165,77
val,logistic_regression,pca@16,normalized_mse,Q1,300,0.69,0.4704423436041083,0.4669312169312169,0.24756698435509697,0.8953449176099173,0.6586757826358519,0.19230769230769232,0.28205128205128205,36,222,42
val,logistic_regression,pca@16,normalized_mse,Q2,300,0.6233333333333333,0.5340424187395442,0.5336506836506837,0.3065435814881505,0.9349335165495325,0.6246535953478117,0.14782608695652175,0.4260869565217391,52,185,63
val,logistic_regression,pca@16,normalized_mse,Q3,300,0.69,0.4009569377990431,0.4148745519713261,0.12470750211984698,0.9361435811980389,0.6798438531998742,0.15384615384615385,0.23076923076923078,28,248,24
val,logistic_regression,pca@16,normalized_mse,Q4,300,0.65,0.47330437737298525,0.5351587301587302,0.22083912917073298,0.9224422421748367,0.6454154882084253,0.15,0.4166666666666667,25,240,35
val,logistic_regression,pca@16,top_of_book_mse,Q1,300,0.64,0.4709445729882691,0.48375928352992564,0.22568343037498398,0.8970804567182882,0.6182736287134762,0.15853658536585366,0.35365853658536583,42,218,40
val,logistic_regression,pca@16,top_of_book_mse,Q2,300,0.71,0.4845931484101113,0.47956666494160666,0.25580115435519823,0.9196964238525012,0.6914802117759248,0.14864864864864866,0.2972972972972973,36,226,38
val,logistic_regression,pca@16,top_of_book_mse,Q3,300,0.67,0.5156093601870423,0.5256801661474558,0.2940919548142912,0.9416918593138729,0.6620362122337624,0.16279069767441862,0.3953488372093023,36,214,50
