model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
mlp_ae,mlp_ae@32,32.0,train,3,ask,volume,0.31084805727005,0.3900302946567535,0.1177592799067497
mlp_ae,mlp_ae@32,32.0,train,4,bid,price,0.0636255890130996,0.0875589773058891,0.0347805209457874
mlp_ae,mlp_ae@32,32.0,train,4,ask,price,0.064061738550663,0.0882626697421073,0.0353275686502456
mlp_ae,mlp_ae@32,32.0,train,4,bid,volume,0.0907989367842674,0.2030903398990631,0.3210445940494537
mlp_ae,mlp_ae@32,32.0,train,4,ask,volume,0.2684719264507293,0.3391669988632202,0.1088960170745849
mlp_ae,mlp_ae@32,32.0,train,5,bid,price,0.0644693523645401,0.0880369544029235,0.0349324829876422
mlp_ae,mlp_ae@32,32.0,train,5,ask,price,0.0639673322439193,0.0880896970629692,0.0352963171899318
mlp_ae,mlp_ae@32,32.0,train,5,bid,volume,0.1776021420955658,0.2674433290958404,0.3532952070236206
mlp_ae,mlp_ae@32,32.0,train,5,ask,volume,0.2967127561569214,0.3681248426437378,0.1199472919106483
mlp_ae,mlp_ae@32,32.0,train,6,bid,price,0.063514620065689,0.087711215019226,0.0347653701901435
mlp_ae,mlp_ae@32,32.0,train,6,ask,price,0.064016468822956,0.0885882824659347,0.0355341807007789
mlp_ae,mlp_ae@32,32.0,train,6,bid,volume,0.1857550293207168,0.2985483109951019,0.2400687485933303
mlp_ae,mlp_ae@32,32.0,train,6,ask,volume,0.3277443647384643,0.3811215460300445,0.1360101848840713
mlp_ae,mlp_ae@32,32.0,train,7,bid,price,0.0638529434800148,0.0886873230338096,0.0351140834391117
mlp_ae,mlp_ae@32,32.0,train,7,ask,price,0.0637621209025383,0.0884523913264274,0.0355178117752075
mlp_ae,mlp_ae@32,32.0,train,7,bid,volume,0.2303395569324493,0.3302739560604095,0.2194122821092605
mlp_ae,mlp_ae@32,32.0,train,7,ask,volume,0.2927561998367309,0.3474044501781463,0.1360660642385482
mlp_ae,mlp_ae@32,32.0,train,8,bid,price,0.0645904466509819,0.0895190685987472,0.0354047939181327
mlp_ae,mlp_ae@32,32.0,train,8,ask,price,0.0639560222625732,0.0889557301998138,0.035758264362812
mlp_ae,mlp_ae@32,32.0,train,8,bid,volume,0.1833786219358444,0.2692896723747253,0.1632778793573379
mlp_ae,mlp_ae@32,32.0,train,8,ask,volume,0.3576363921165466,0.3576940894126892,0.1375182271003723
mlp_ae,mlp_ae@32,32.0,train,9,bid,price,0.064110167324543,0.0880476087331771,0.0347849316895008
mlp_ae,mlp_ae@32,32.0,train,9,ask,price,0.063823327422142,0.0876715928316116,0.0352798961102962
mlp_ae,mlp_ae@32,32.0,train,9,bid,volume,0.2736842036247253,0.3250699341297149,0.1592069715261459
mlp_ae,mlp_ae@32,32.0,train,9,ask,volume,0.2624354362487793,0.2975178956985473,0.1346732974052429
mlp_ae,mlp_ae@32,32.0,train,10,bid,price,0.063802570104599,0.0885557234287262,0.0349474661052227
mlp_ae,mlp_ae@32,32.0,train,10,ask,price,0.0639537274837493,0.0894226804375648,0.0360230915248394
mlp_ae,mlp_ae@32,32.0,train,10,bid,volume,0.2433904558420181,0.3292547166347503,0.1392842680215835
mlp_ae,mlp_ae@32,32.0,train,10,ask,volume,0.3672813475131988,0.352210134267807,0.1281890124082565
mlp_ae,mlp_ae@32,32.0,val,1,bid,price,0.0218608994036912,0.1134327873587608,0.010215887799859
mlp_ae,mlp_ae@32,32.0,val,1,ask,price,0.0214619729667902,0.1134858429431915,0.0102340755984187
mlp_ae,mlp_ae@32,32.0,val,1,bid,volume,0.085560068488121,0.2302220314741134,0.3093931674957275
mlp_ae,mlp_ae@32,32.0,val,1,ask,volume,0.582746684551239,0.5840696692466736,0.1953269243240356
mlp_ae,mlp_ae@32,32.0,val,2,bid,price,0.0143593484535813,0.0929237306118011,0.0369917042553424
mlp_ae,mlp_ae@32,32.0,val,2,ask,price,0.0142158074304461,0.0925649404525756,0.0369697920978069
mlp_ae,mlp_ae@32,32.0,val,2,bid,volume,0.063115581870079,0.1955039054155349,0.3553130328655243
mlp_ae,mlp_ae@32,32.0,val,2,ask,volume,0.7535630464553833,0.6687960028648376,0.1898546665906906
mlp_ae,mlp_ae@32,32.0,val,3,bid,price,0.0134640503674745,0.0899055525660514,0.0357513986527919
mlp_ae,mlp_ae@32,32.0,val,3,ask,price,0.0137286307290196,0.0915921032428741,0.0366205461323261
mlp_ae,mlp_ae@32,32.0,val,3,bid,volume,0.0929448083043098,0.2431598007678985,0.4329268336296081
mlp_ae,mlp_ae@32,32.0,val,3,ask,volume,0.7085270881652832,0.6544957756996155,0.1975794285535812
